# forecast_id: 31ae8548-9a07-11e9-b2f4-0a580a8003d5
# metadata: https://api.solarforecastarbiter.org/forecasts/single/31ae8548-9a07-11e9-b2f4-0a580a8003d5/metadata
timestamp,value
20190530T06:00:00+0000,0.0
20190530T07:00:00+0000,0.0
20190530T08:00:00+0000,0.0
20190530T09:00:00+0000,0.0
20190530T10:00:00+0000,0.0
20190530T11:00:00+0000,0.0
20190530T12:00:00+0000,0.0
20190530T13:00:00+0000,15.5824
20190530T14:00:00+0000,173.15
20190530T15:00:00+0000,399.194
20190530T16:00:00+0000,616.201
20190530T17:00:00+0000,801.447
20190530T18:00:00+0000,940.386
20190530T19:00:00+0000,1022.87
20190530T20:00:00+0000,1043.02
20190530T21:00:00+0000,999.412
20190530T22:00:00+0000,895.159
20190530T23:00:00+0000,737.753
20190531T00:00:00+0000,538.893
20190531T01:00:00+0000,315.044
20190531T02:00:00+0000,98.0439
20190531T03:00:00+0000,1.38342
20190531T04:00:00+0000,0.0
20190531T05:00:00+0000,0.0
20190531T06:00:00+0000,0.0
20190531T07:00:00+0000,0.0
20190531T08:00:00+0000,0.0
20190531T09:00:00+0000,0.0
20190531T10:00:00+0000,0.0
20190531T11:00:00+0000,0.0
20190531T12:00:00+0000,0.0
20190531T13:00:00+0000,15.8583
20190531T14:00:00+0000,173.779
20190531T15:00:00+0000,399.592
20190531T16:00:00+0000,616.373
20190531T17:00:00+0000,801.468
20190531T18:00:00+0000,940.345
20190531T19:00:00+0000,1022.86
20190531T20:00:00+0000,1043.13
20190531T21:00:00+0000,999.739
20190531T22:00:00+0000,895.763
20190531T23:00:00+0000,738.681
20190601T00:00:00+0000,540.162
20190601T01:00:00+0000,316.62
20190601T02:00:00+0000,99.5579
20190601T03:00:00+0000,1.51619
20190601T04:00:00+0000,0.0
20190601T05:00:00+0000,0.0
20190601T06:00:00+0000,0.0
20190601T07:00:00+0000,0.0
20190601T08:00:00+0000,0.0
20190601T09:00:00+0000,0.0
20190601T10:00:00+0000,0.0
20190601T11:00:00+0000,0.0
20190601T12:00:00+0000,0.0
20190601T13:00:00+0000,16.1095
20190601T14:00:00+0000,174.328
20190601T15:00:00+0000,399.914
20190601T16:00:00+0000,616.48
20190601T17:00:00+0000,801.436
20190601T18:00:00+0000,940.263
20190601T19:00:00+0000,1022.82
20190601T20:00:00+0000,1043.23
20190601T21:00:00+0000,1000.05
20190601T22:00:00+0000,896.352
20190601T23:00:00+0000,739.592
20190602T00:00:00+0000,541.41
20190602T01:00:00+0000,318.166
20190602T02:00:00+0000,101.048
20190602T03:00:00+0000,1.65402
20190602T04:00:00+0000,0.0
20190602T05:00:00+0000,0.0
20190602T06:00:00+0000,0.0
20190602T07:00:00+0000,0.0
